id,text_sha256,char_len,word_count,source_document
82,53e11b2aa7854431bbbc029b18bee252d8adfcbbb9e5062ed6f00ef0580f8964,339,60,
83,3993499af90b9fc7dceb6c6a913dc5e0585d729d7f5cdce439b63dbc95aca70f,270,51,
84,ed04f7140b62708c45eb9360197201c38a6fcc5c6d852072510be99b77034185,196,34,
85,e5fcf4433cf2c1b7554bc653356886f2257c66548bfcb7978f103fe2a38fc84d,101,16,
86,6ba4a3dfe0426b7613f47273923422a239cb37731ecd9b15e5365e2a6dda5746,101,18,
87,918a6da8b9075fe5827dcff899902d42c2cad9645028b7e9280fcee252d270c2,99,15,
88,e1f21b37386c66dcceea322ff6017bc752e905c460b0d74c5021700793f9a37d,98,15,
89,0a75ced7336a35caa727d2938981f7d974f3727d48fda71aa5d65b74d70d7bf5,186,32,
90,2332a2f15c4677e8599823a326c5e59df6ade9d3876d64f09ee9924b787381fd,187,31,
91,3c5aaa620a28a70c435678f075f85cce0b1b551ca617791cf64aaa3061e9fb08,182,31,
92,8097e4c01b142f9dcd20f8f00063c8575a2f84c57daf0027f9e41974615fc277,178,34,
93,441a9ee577c925ca7a4ea24b38b898937033160e19df6cd34f548d5a4828a12b,189,33,
94,10d77c6efc3176e08126798df6694d1083c8322e2708477c724cacc6aed3d86b,222,39,
95,a60fe1d12dcf0a991d4ae2100494a5529808ca4198acd16ca4690c2e0e502816,270,48,
96,e3f7cf727465ef670b498e120d9cc94bf299a7b11d72e58f379e646b3b43ff6d,275,50,
97,c586de2a3790d65bb6db734f23301c8ae472e7c1ff30735d6825dcd9d0f0315f,236,38,
98,40138defcd60a1ceffba9c763d9bdb776726002cd404ce8349e834beabd2a1a0,250,42,
99,c5e1d5b80e776acd24d535a04a197cb02e91c1cae9649c9bffd3775b537cbb26,95,14,
100,64b4cf02b44c341821d4d631981a6fbf1a69f5076ae0f6012b11bb6ffa25cfe2,100,16,
101,abf64ac8dd49d60d61e217707a6df3b901d8247dc4a67276a695609f642e1049,102,19,
102,4b69a525cc6052bde172cc145c30a438cd33f69214d91866ae05f5944575b7c7,104,15,
103,4bbcdcb5ea6712de3557bcffc2030513be57c2f178820c7a44d27195f8267727,173,34,
104,a09b6c20540ae352d5207e73ef7015ee778cc9604a325185cd1b5c14cde80b5d,162,34,
105,a36ab4aa4b8f92f66a20dcc682776561c3f42e9ef4398d7951248451b2d9d924,175,33,
106,8bada9d9646e2ab32dfa7bc4a932b444c92f3351a26acb333ff014eb1c2fe68f,182,30,
107,51109a8bc0ca97637eb0bd64fa84c123f6a0c9f03d9757a0f5a65d1f58c34f10,249,44,
108,45f08ad4a4cd1286862117754a23d994198e35f8932034e283079d4e14b8b919,401,72,
109,7376662a31769ff254681e4469bb0d52f0de68ee90bbb9098d8b4a31c99eeedd,100,20,
110,aa18f8eedda1d9f5ad82b4dac80e200d55d8631b14270aef6005d3771a1d816e,122,21,
111,dd4732e7591243f11518a5132f9dffd65e0f044d8bd452f27312835e47c7d7a3,100,14,
112,410f51e06edfffec6affde471d67bbf06c3e10c9f0f17322e7b5c96b317a4545,99,17,
113,32260e24ad34a45680c601f7fbebedf504b08ef0064bff11c9cdd4709be93c95,102,20,
114,c6ae57fda68961fbe3b0d116f1b06e1debe2120e3e409f9c0a03a6e15613fa3d,190,29,
115,caa4846c428af526c4f45dfb96aff1d454353d375ec32256ebc56e32209c612d,204,32,
116,7bf22fb0c58585c56e2e94c352285bcdd4a899c73700e327c0440749b43c3ef1,296,50,
117,02037021d61152244328373c4cc197b94717d0bb964e412532b66c0fc0e408e8,260,40,
118,f6affe82e33785fc16a7045b08ac93e9848322aad58282b9ad190f66dc859d3a,269,48,
119,995c59ab51422c97c865bdef88572ecccd60d7b6eed8fe28a1dc12afc4bbd4d9,122,19,
120,db04d6643e6ab55cdbff5155326735ec7b66c9335c98c4dfa0c6b9b16ff8efca,106,19,
121,8aa86764aa73811b06d4b0a68682cef1f1f387de41c9d696f77e9968e12415c8,112,19,
122,f30dd091fa938659949c50034871e6e77f0dbfe7ace189bb16c4b2b2659f47ab,112,17,
123,0778bd2b9f05079d2060759f55b6e4ee99060cd805726c0bfea22859e0ba7826,78,14,
124,c3aed7c6874db14a4f64ddbab150107aaa5393a52dd683afa256c28992698d60,195,29,
125,7401873421e0abef0be05a9f7e8aa997bf79a46f0e4ef63d07295e9e055dfa2d,103,15,
126,bbba47ad7ff7eee08b5a3a7a905159ecdf46af92c71a1080cc9212e722dc3d01,125,19,
127,1cfdf08f345bc0b1134cb38c9da6c4db60545a8d69fb0d73ce6fdba6e41f3ca8,129,22,
128,6d903f7a1954cf4d6aa6abb75931483db2ed9011ab19af6e13f6ed796213fb5d,165,25,
129,20d12d0c937070048f82de43df77fb85bc7976583acd8795c484ae677bf4d9c0,97,16,
130,eee95756f7d25c734e7ce84d7174d24af7f3aa8c9188c8c12222f73dd273c4cc,104,20,
131,e8a213590f40dbb894d95ccea940cb160767c7bc01619576b1b223a34dfa3ae0,130,20,
132,1af9697784d555f9b701f66792e5489338ebfed28a2ded2dfa8d8025b90ec9fd,149,24,
133,6457e661354657ec86fc151d3e887965c4fac67d2e1d04aa576860bb3f1e76e7,148,27,
134,c2b4e0f834cc95b9b39667b077e76eed961176b1ff8c2a37b2b340d6216d50ae,103,19,
135,f3a667c57bafdb4ae7881d1145b313d62e068ec65c1a45a24ea0db1bfaa1b09b,158,25,
136,b6aabb6cb9b6e980ccfe0fcad914c0dae8f1f901f94ae4a0fddb43a49f8bea19,99,16,
137,c2670f8cf284cc9004d17c4593e59efb05e6408d1327e5edce94e1f9a3e099a0,108,19,
138,d17d7eed1dd0f44cfe9cf3a8fb58b8efc9e28e937e5ea2b499a5c81e253c8350,97,15,
139,24a98cd1585258c2357956e0d780d542acf391c16d8eaf3fc97f33894c940fa0,104,19,
140,80d2bf69fa15f59be0e18190b564e710032864b1e1a2d70981d4b3f5cb969cb7,95,15,
141,94d2fb363fcb275910152a1e5857ec938b1f3bf1e351206fea5a5951aaba79f2,174,31,
142,e24e21dbb4ff3f7d0f3f8e9bba20852fa3b43a75afc39f736d25e15dbf937c2c,178,27,
143,225b10e72d4497b14ba97db7e9050e7951aa67a8cff1954b551e207b1820936b,220,40,
144,81d2d0db2b30ed2ed2cc2a59a1baf8ae57278e0ad96eb50d7931f16cc4bd7442,242,34,
145,4e2dbccf90464a2e14474e9703e8051acd059057fb798a3117d296dfbcdcc9a8,142,18,
146,2d4ab821978a232beca8016ce60bd196833058173a9be40cdf224d09343afc9f,225,40,
147,4e823c7ef25076a99b6069e472fdb48987ab5129a78ffbe48fd12dcdfdbbaaf0,123,21,
148,e7591fafd7f7b17007ed16180ebf403497fda098c2dddc3c0b4266589712ec96,104,21,
149,6cdf1ff7bc7fa9b9d353d55132c0cf287c6d40f226b37d7403e01cc068e17f79,111,17,
150,dc45efcaea1e7bceb576afbd1edf74b9ac1cb2c2b24232304047ca5590201d7b,135,21,
151,c684494fae9b2498cc5be83fb212bf6563e382bebe0e07ba62004becd3e99833,150,27,
152,ab25bca8b1a0ca03c16f462adf63cd22685ab692a777b0bdd5dabdaa9b1fe126,292,48,
153,845c3f28df040f27316f8a445d287312407c325ca0d153866930a18322098252,181,32,
154,12ee3a0be67ca613d0af41085e0cf347aae595fbc4052e9ce39b7117a1959344,121,21,
155,6ba163d04d4b884bf125c7d71b7c5bbc9bf282ef9d935da2bc25a462f6938c46,109,14,
156,9695873ad780a4f67188100450e8d0dcbba7d99de850d6f3e1a8b1d09bbba9f6,179,38,
157,453c48d55a1798ebe6f432d388cce1730d551bf874e53e35e8603862d015cbf2,87,14,
158,63cceaca9e0fcbd739dd41116296bccdefb1abe9e7ab45c7fa7f3224bfdb2d47,111,19,
159,bf3ccf3e7f612b3a668040275160c6220f64f8c5ae8dd4b7c30aaa4b34f03b64,223,36,
160,812a08a3a92c5be2f0fd70723bfc1cd02139fce7eeb08b4edb553aa1d3048a70,204,36,
161,9fe1af98c93298f97ee56fda70a631188b82e398610b34349f5b6a88f333f961,248,43,
162,0cdc8e542c67c4bc7e31e087e2670ec0e871ff90e0b8215e0c727509d8651d22,162,31,
163,0ec31e6084c0297b7a9530011c328103d4447444bc7dc891ee820a1f335483ee,185,31,
164,26ead6de718f72be7fa911c55f4b9ce75179ed44153b4a7fc9d97f5dec31700d,99,14,
165,81c30314b5738223e2a4f7fd69e3d155ec70c70a8d70268bbf15cbb4bf730a0b,102,19,
166,c13ef330443f49f4b89da9dacecf10f60a001cd9136640fe75c34e68b5d4f440,98,14,
167,c6846fcc977825ef6f7aef29a9c740d1d54d8533916c4410b2cfd2c333083994,185,31,
168,d3cfdcbece18c0609b33e37eb0c5c716487fdccefbd96c6b76002a8794e6f852,188,29,
169,a5fca85bc6c2d68b22239ddd8cd7518186ba88c07b8e3aa280655d2811b4542a,189,30,
170,287e3fefc56aed5a9a1f5fba09e758e62ea7607282874cc978bade4df2499277,190,31,
171,a1291964fe96f7282bb19ccd3850706e30fcafd6ddc776f0316ac06d734b2930,218,36,
172,e40c54e556208e89ee06b1f1ae6d14d5903e823418a1befa2d7ac444d265cc4f,312,47,
173,2c8be427ffcb213237fab3572d32474ac469e7264e3b52a13e79efb8d7aec92f,241,47,
174,acf5e399a14b9734906e106af4e3885004262135fb3d2e467bfac780c232ee60,265,38,
175,278aa9524ad23e1bf2c5ac3e4c53c132753e7bfa7946b15bf112e16aaff74522,247,48,
176,d6fcfbe3e09fae7eb52b2129dc697e4dbddae80fbbc5da2c7986a2a0e75afc44,222,36,
177,19e8075d0609c3a1b792ec32956957f3e53ac653690ed65b62146e9c82174f85,137,26,
178,a5943ecf26cbdc03e55af92c8e45eae4446400e46e8f6f89068095ebd19e74ec,146,22,
179,65c12c550416389bfc68d15f61ebaf3fc9cbf506c71e2e209b12f1a9312e5b02,95,14,
180,4fdb1927991dc00357b4c0412b59120eddd837fa8055b11d888a17921117a537,85,15,
181,0d47c0210b5dbe2ed6eda726f0ebe12484711e8053ca05cd23a23547585997b6,99,12,
182,79e3b74949872e6f1141c07e27fc6ac1c70f4b27e97c8123cb4ba4b7accaf970,98,15,
183,f7bd08c792b86a681d74f106f87f057132cccd1ef51e42295234072f54825dc7,135,22,
184,5d62145245606cf657ceb681a90f436840d8770f44f8a9259dae76f04f54aa53,130,22,
185,6d1d1ecd4e4cf12e082e19e37c2dbc6a81fd2a13c49096205e4a4958b0944475,103,15,
186,7d1cc3bf5af92d77794dc4059053df78e5a467fe5087d3d614ddb56b22578173,186,28,
187,cfb12a6307109cf55544d13c5b2e1e76e5a74b65fb26f2f537151d8c0c7649b2,183,28,
188,724aa62380db7d6721cadac570ad6b9d83f316b3d8c5b379a04255efbfbf7a01,174,26,
189,1e158bf33f78221ef03796898e1640815ee0b185a4ab848e7bebfec03fe8e836,98,16,
190,b3bcc8000b8cdea67acfff8fd95a8f59db303a4079b7c6cdcfef839215777ac2,79,11,
